"Red Velvet Dice Bag","bag/red_velvet/velvet_1.jpg","bag/red_velvet/velvet_2.jpg","bag/red_velvet/velvet_3.jpg"
"White Velvet Dice Bag","bag/white_velvet/velvet_1.jpg","bag/white_velvet/velvet_2.jpg","bag/white_velvet/velvet_3.jpg"
"D&D 5th Edition Dungeon Master's Handbook","book/dungeon_masters_handbook/book_1.jpg","book/dungeon_masters_handbook/book_2.jpg","book/dungeon_masters_handbook/book_3.jpg","book/dungeon_masters_handbook/book_4.jpg"
"D&D 5th Edition Monster Manual","book/monster_manual/book_1.jpg","book/monster_manual/book_2.jpg","book/monster_manual/book_3.jpg","book/monster_manual/book_4.jpg"
"D&D 5th Edition Player's Handbook","book/players_handbook/book_1.jpg","book/players_handbook/book_2.jpg","book/players_handbook/book_3.jpg","book/players_handbook/book_4.jpg"
"Transparent Resin Dice Set","dice/resin_clear/resin_1.jpg","dice/resin_clear/resin_2.jpg","dice/resin_clear/resin_3.jpg"
"Aqua and Gold Dice Set","dice/zinc_aqua/zinc_1.jpg","dice/zinc_aqua/zinc_2.jpg","dice/zinc_aqua/zinc_3.jpg"
"Bronze Dice Set","dice/zinc_bronze/zinc_alloy_1.jpg","dice/zinc_bronze/zinc_alloy_2.jpg","dice/zinc_bronze/zinc_alloy_3.jpg"
"Dry Erase Battle Grid Mat","mat/battle_grid/grid_1.jpg","mat/battle_grid/grid_2.jpg","mat/battle_grid/grid_3.jpg"
"Romantic Story Battle Tabletop Mat","mat/romantic/mat_1.png","mat/romantic/mat_2.png","mat/romantic/mat_3.png"
